CustomerID,Frequency,Monetary,Recency,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment
12612,1,704.04,74,2,1,3,6,213
12613,5,3344.38,57,3,4,5,12,345
12614,1,315.6,278,1,1,2,4,112
12615,4,2291.19,2,5,4,5,14,545
12616,2,713.3,95,2,2,3,7,223
12617,1,355.53,29,4,1,2,7,412
12618,1,177.31,22,4,1,1,6,411
12619,9,3641.24,16,4,5,5,14,455
12620,3,1339.41,15,4,3,4,11,434
12621,20,13689.67,2,5,5,5,15,555
12622,1,180.1,232,1,1,1,3,111
12623,1,305.1,276,1,1,2,4,112
12624,2,641.13,106,2,2,3,7,223
12625,2,2683.82,212,1,2,5,8,125
12626,9,6620.48,23,4,5,5,14,455
12627,7,4478.53,11,5,5,5,15,555
12628,3,786.46,4,5,3,3,11,533
12630,2,1270.88,10,5,2,4,11,524
12631,1,640.5,57,3,1,3,7,313
12633,4,2163.98,59,3,4,5,12,345
12635,2,1689.18,90,2,2,4,8,224
12637,8,6021.9,67,3,5,5,13,355
12638,1,671.69,33,4,1,3,8,413
12639,1,486.1,239,1,1,2,4,112
12640,3,1174.58,24,4,3,4,11,434
12641,1,185.9,115,2,1,1,4,211
12642,3,1013.26,25,4,3,4,11,434
12643,6,3344.64,128,2,5,5,12,255
12644,1,477.91,130,2,1,2,5,212
12645,4,1775.18,34,3,4,4,11,344
12646,2,1346.97,5,5,2,4,11,524
12647,12,3722.82,22,4,5,5,14,455
12648,1,318.05,155,2,1,2,5,212
12649,3,623.51,107,2,3,3,8,233
12650,1,314.44,3,5,1,2,8,512
12651,1,114.0,335,1,1,1,3,111
12652,1,919.98,331,1,1,3,5,113
12653,2,2209.85,149,2,2,5,9,225
12654,5,601.98,11,5,4,3,12,543
12656,5,4051.17,17,4,4,5,13,445
12657,4,1643.18,11,5,4,4,13,544
12658,1,686.05,19,4,1,3,8,413
12659,1,91.68,30,4,1,1,6,411
12660,1,245.1,11,5,1,1,7,511
12662,11,3849.78,1,5,5,5,15,555
12664,9,4881.88,8,5,5,5,15,555
12665,1,63.0,325,1,1,1,3,111
12667,1,620.13,58,3,1,3,7,313
12668,4,3807.15,12,5,4,5,14,545
12669,3,2744.03,151,2,3,5,10,235
12670,5,2996.05,10,5,4,5,14,545
12672,1,225.9,330,1,1,1,3,111
12673,2,610.52,5,5,2,3,10,523
12674,4,1970.6,39,3,4,4,11,344
12676,6,1331.39,25,4,5,4,13,454
12678,12,17628.46,42,3,5,5,13,355
12679,4,1113.02,59,3,4,4,11,344
12680,4,862.81,1,5,4,3,12,543
12681,22,13787.54,15,4,5,5,14,455
12682,31,12288.22,4,5,5,5,15,555
12683,15,8476.57,4,5,5,5,15,555
12684,7,2283.63,8,5,5,5,15,555
12685,6,2863.08,28,4,5,5,14,455
12686,1,89.14,372,1,1,1,3,111
12688,1,4873.81,114,2,1,5,8,215
12689,2,1247.61,26,4,2,4,10,424
12690,1,389.01,206,1,1,2,4,112
12691,6,1035.8,28,4,5,4,13,454
12693,4,855.91,127,2,4,3,9,243
12694,2,869.67,70,3,2,3,8,323
12695,4,582.1,7,5,4,3,12,543
12697,3,957.59,29,4,3,4,11,434
12700,4,4939.99,8,5,4,5,14,545
12701,2,797.71,80,2,2,3,7,223
12702,1,219.0,20,4,1,1,6,411
12703,1,283.55,71,3,1,2,6,312
12704,8,2340.84,7,5,5,5,15,555
12705,9,6868.29,15,4,5,5,14,455
12707,1,603.42,292,1,1,3,5,113
12708,10,2712.91,30,4,5,5,14,455
12709,15,9736.52,15,4,5,5,14,455
12710,3,1149.02,97,2,3,4,9,234
12712,13,4396.13,29,4,5,5,14,455
12713,1,848.55,1,5,1,3,9,513
12714,5,4708.86,9,5,4,5,14,545
12715,1,353.86,106,2,1,2,5,212
12716,2,1053.49,4,5,2,4,11,524
12717,2,1030.98,151,2,2,4,8,224
12718,1,238.25,71,3,1,1,5,311
12719,2,644.95,5,5,2,3,10,523
12720,25,5781.73,3,5,5,5,15,555
12721,6,2656.13,32,4,5,5,14,455
12722,4,997.63,85,2,4,4,10,244
12723,5,725.07,4,5,4,3,12,543
12724,4,1031.41,5,5,4,4,13,544
12725,1,427.8,371,1,1,2,4,112
12726,7,2609.1,28,4,5,5,14,455
12727,7,3980.7,11,5,5,5,15,555
12728,4,836.33,71,3,4,3,10,343
12729,1,453.01,114,2,1,2,5,212
12731,12,18895.91,24,4,5,5,14,455
12732,1,236.26,180,1,1,1,3,111
12733,1,383.95,234,1,1,2,4,112
12734,1,110.4,353,1,1,1,3,111
12735,2,779.57,315,1,2,3,6,123
12736,1,234.0,333,1,1,1,3,111
12738,1,155.35,372,1,1,1,3,111
12739,2,1013.04,78,2,2,4,8,224
12740,1,427.6,64,3,1,2,6,312
12743,2,546.43,134,2,2,3,7,223
12744,7,21279.29,52,3,5,5,13,355
12747,11,4196.01,2,5,5,5,15,555
12748,209,33719.73,1,5,5,5,15,555
12749,5,4090.88,4,5,4,5,14,545
12750,1,275.88,129,2,1,2,5,212
12752,1,4366.78,81,2,1,5,8,215
12753,6,21429.39,23,4,5,5,14,455
12754,3,3010.74,236,1,3,5,9,135
12755,2,3811.95,281,1,2,5,8,125
12756,1,112.08,87,2,1,1,4,211
12757,13,7857.1,16,4,5,5,14,455
12758,2,2791.59,117,2,2,5,9,225
12759,3,1531.44,52,3,3,4,10,334
12762,2,1898.52,8,5,2,4,11,524
12763,2,494.08,138,2,2,3,7,223
12764,1,1693.88,317,1,1,4,6,114
12766,7,6989.63,4,5,5,5,15,555
12769,1,1143.6,239,1,1,4,6,114
12770,1,1351.45,211,1,1,4,6,114
12772,1,892.47,60,3,1,3,7,313
12775,5,1386.04,17,4,4,4,12,444
12778,6,822.23,20,4,5,3,12,453
12779,8,3981.36,38,3,5,5,13,355
12781,2,826.74,64,3,2,3,8,323
12782,5,2330.92,5,5,4,5,14,545
12783,6,2225.91,2,5,5,5,15,555
12784,2,574.42,9,5,2,3,10,523
12785,1,311.95,364,1,1,2,4,112
12787,3,463.66,10,5,3,2,10,532
12789,1,91.85,65,3,1,1,5,311
12790,1,324.92,192,1,1,2,4,112
12791,1,192.6,374,1,1,1,3,111
12792,1,400.54,257,1,1,2,4,112
12793,2,545.48,335,1,2,3,6,123
12794,2,860.41,53,3,2,3,8,323
12795,1,430.48,19,4,1,2,7,412
12797,1,254.03,366,1,1,2,4,112
12798,3,6977.04,10,5,3,5,13,535
12802,1,427.58,187,1,1,2,4,112
12808,3,483.65,37,3,3,2,8,332
12809,1,489.31,178,2,1,2,5,212
12811,3,514.85,261,1,3,3,7,133
12812,1,229.64,45,3,1,1,5,311
12814,1,125.92,102,2,1,1,4,211
12815,2,1063.46,148,2,2,4,8,224
12816,2,572.2,96,2,2,3,7,223
12817,1,166.04,281,1,1,1,3,111
12818,1,1542.08,262,1,1,4,6,114
12820,4,942.34,3,5,4,4,13,544
12821,1,92.72,214,1,1,1,3,111
12822,2,948.88,71,3,2,4,9,324
12823,5,1759.5,75,2,4,4,10,244
12824,1,397.12,60,3,1,2,6,312
12826,7,1474.72,3,5,5,4,14,554
12827,3,430.15,6,5,3,2,10,532
12828,6,1018.71,3,5,5,4,14,554
12829,2,293.0,337,1,2,2,5,122
12830,6,6814.64,38,3,5,5,13,355
12831,1,215.05,262,1,1,1,3,111
12832,2,383.03,32,4,2,2,8,422
12833,1,417.38,145,2,1,2,5,212
12834,1,312.38,283,1,1,2,4,112
12836,4,2612.86,59,3,4,5,12,345
12837,1,134.1,173,2,1,1,4,211
12838,2,683.13,34,3,2,3,8,323
12839,14,5591.42,3,5,5,5,15,555
12840,4,2726.77,144,2,4,5,11,245
12841,25,4022.35,5,5,5,5,15,555
12842,2,1118.99,70,3,2,4,9,324
12843,8,1702.26,66,3,5,4,12,354
12844,2,325.96,29,4,2,2,8,422
12845,4,354.09,267,1,4,2,7,142
12847,1,871.54,22,4,1,3,8,413
12849,2,1050.89,31,4,2,4,10,424
12851,1,135.18,97,2,1,1,4,211
12852,1,311.55,295,1,1,2,4,112
12853,6,1957.1,135,2,5,4,11,254
12854,3,1324.5,79,2,3,4,9,234
12855,1,38.1,373,1,1,1,3,111
12856,6,2179.93,8,5,5,5,15,555
12857,2,1106.4,211,1,2,4,7,124
12863,1,521.2,52,3,1,3,7,313
12864,1,147.12,138,2,1,1,4,211
12865,2,1568.23,26,4,2,4,10,424
12866,1,559.12,283,1,1,3,5,113
12867,7,4036.82,26,4,5,5,14,455
12868,6,1607.06,186,1,5,4,10,154
12871,2,380.64,84,2,2,2,6,222
12872,2,599.97,327,1,2,3,6,123
12873,1,374.0,282,1,1,2,4,112
12875,2,343.23,143,2,2,2,6,222
12876,2,2218.02,58,3,2,5,10,325
12877,12,1535.77,4,5,5,4,14,554
12878,2,854.99,236,1,2,3,6,123
12879,3,573.22,45,3,3,3,9,333
12881,1,298.0,276,1,1,2,4,112
12882,2,1463.04,9,5,2,4,11,524
12883,4,703.47,25,4,4,3,11,443
12884,1,309.05,88,2,1,2,5,212
12885,3,1175.22,63,3,3,4,10,334
12886,2,1378.4,68,3,2,4,9,324
12888,2,354.12,214,1,2,2,5,122
12890,1,380.47,24,4,1,2,7,412
12891,3,331.0,186,1,3,2,6,132
12893,1,188.14,31,4,1,1,6,411
12895,2,372.8,42,3,2,2,7,322
12897,2,216.5,205,1,2,1,4,121
12901,28,17654.54,9,5,5,5,15,555
12902,1,138.68,265,1,1,1,3,111
12904,2,509.58,18,4,2,3,9,423
12906,5,2919.81,12,5,4,5,14,545
12908,2,750.0,176,2,2,3,7,223
12909,5,2178.67,40,3,4,5,12,345
12910,8,3075.04,23,4,5,5,14,455
12912,5,1662.3,3,5,4,4,13,544
12913,5,2483.63,5,5,4,5,14,545
12915,2,363.65,149,2,2,2,6,222
12916,4,3006.15,139,2,4,5,11,245
12917,1,594.0,128,2,1,3,6,213
12919,6,1335.19,8,5,5,4,14,554
12920,1,164.23,17,4,1,1,6,411
12921,37,16587.09,9,5,5,5,15,555
12922,1,405.38,161,2,1,2,5,212
12923,1,176.97,64,3,1,1,5,311
12924,4,933.7,88,2,4,3,9,243
12925,2,694.05,5,5,2,3,10,523
12928,5,2062.7,35,3,4,5,12,345
12929,1,117.85,312,1,1,1,3,111
12930,2,415.8,78,2,2,2,6,222
12931,15,42055.96,22,4,5,5,14,455
12933,3,607.53,24,4,3,3,10,433
12935,7,2160.7,2,5,5,5,15,555
12936,4,1063.9,17,4,4,4,12,444
12937,4,1504.27,15,4,4,4,12,444
12938,1,114.14,26,4,1,1,6,411
12939,8,11581.8,64,3,5,5,13,355
12940,2,913.54,55,3,2,3,8,323
12942,3,683.9,131,2,3,3,8,233
12944,2,604.51,36,3,2,3,8,323
12945,1,462.95,288,1,1,2,4,112
12947,6,1603.99,144,2,5,4,11,254
12948,7,2064.95,16,4,5,5,14,455
12949,8,4167.22,31,4,5,5,14,455
12950,3,1843.0,2,5,3,4,12,534
12951,6,1064.07,9,5,5,4,14,554
12952,4,1387.79,6,5,4,4,13,544
12953,1,329.85,10,5,1,2,8,512
12955,11,4757.16,1,5,5,5,15,555
12956,1,108.07,306,1,1,1,3,111
12957,8,4017.54,10,5,5,5,15,555
12962,2,266.39,7,5,2,2,9,522
12963,8,1856.63,8,5,5,4,14,554
12965,1,771.91,89,2,1,3,6,213
12966,1,160.18,10,5,1,1,7,511
12967,2,1660.9,358,1,2,4,7,124
12968,1,135.95,112,2,1,1,4,211
12970,4,452.24,7,5,4,2,11,542
12971,86,11189.91,4,5,5,5,15,555
12974,1,144.8,198,1,1,1,3,111
12976,1,738.6,212,1,1,3,5,113
12977,1,39.24,156,2,1,1,4,211
12980,9,7374.9,158,2,5,5,12,255
12981,2,372.22,30,4,2,2,8,422
12982,1,390.54,243,1,1,2,4,112
12984,1,97.5,19,4,1,1,6,411
12985,2,1239.38,1,5,2,4,11,524
12987,2,558.7,74,2,2,3,7,223
12988,1,535.32,292,1,1,3,5,113
12989,15,6924.11,3,5,5,5,15,555
12990,3,409.5,31,4,3,2,9,432
12991,2,503.76,23,4,2,3,9,423
12993,4,414.76,23,4,4,2,10,442
12994,3,974.42,4,5,3,4,12,534
12995,1,211.32,85,2,1,1,4,211
12997,4,1226.89,22,4,4,4,12,444
12999,3,455.88,196,1,3,2,6,132
13000,3,534.85,107,2,3,3,8,233
13001,13,9818.82,4,5,5,5,15,555
13002,1,120.95,318,1,1,1,3,111
13003,3,149.05,106,2,3,1,6,231
13004,18,5655.91,12,5,5,5,15,555
13005,2,513.7,174,2,2,3,7,223
13006,1,81.57,56,3,1,1,5,311
13008,1,229.47,323,1,1,1,3,111
13011,1,50.55,372,1,1,1,3,111
13012,8,1661.84,9,5,5,4,14,554
13013,13,4810.94,1,5,5,5,15,555
13014,10,3466.28,11,5,5,5,15,555
13015,5,3346.28,53,3,4,5,12,345
13016,3,789.89,73,2,3,3,8,233
13017,1,204.0,7,5,1,1,7,511
13018,28,7277.7,16,4,5,5,14,455
13021,9,2616.38,4,5,5,5,15,555
13023,2,689.9,64,3,2,3,8,323
13026,5,975.36,1,5,4,4,13,544
13027,6,6912.0,114,2,5,5,12,255
13028,2,661.32,23,4,2,3,9,423
13029,3,1247.5,31,4,3,4,11,434
13030,2,799.48,11,5,2,3,10,523
13032,2,1010.18,52,3,2,4,9,324
13033,1,190.55,357,1,1,1,3,111
13034,2,642.77,55,3,2,3,8,323
13035,2,921.88,74,2,2,3,7,223
13037,3,881.07,138,2,3,3,8,233
13038,3,908.46,80,2,3,3,8,233
13040,2,676.99,9,5,2,3,10,523
13043,1,516.42,273,1,1,3,5,113
13044,1,560.47,291,1,1,3,5,113
13045,1,305.28,99,2,1,2,5,212
13046,2,629.31,31,4,2,3,9,423
13047,10,3237.54,32,4,5,5,14,455
13048,4,1835.91,14,4,4,4,12,444
13049,2,656.68,64,3,2,3,8,323
13050,17,5836.86,15,4,5,5,14,455
13052,1,348.15,212,1,1,2,4,112
13055,3,1214.41,78,2,3,4,9,234
13058,3,271.4,25,4,3,2,9,432
13059,1,183.4,250,1,1,1,3,111
13060,1,307.53,254,1,1,2,4,112
13061,1,248.61,72,3,1,1,5,311
13062,1,346.98,191,1,1,2,4,112
13064,4,1119.49,13,5,4,4,13,544
13065,1,205.86,373,1,1,1,3,111
13066,2,470.8,24,4,2,2,8,422
13067,1,115.46,82,2,1,1,4,211
13068,2,344.0,10,5,2,2,9,522
13069,24,4436.12,1,5,5,5,15,555
13070,1,228.8,192,1,1,1,3,111
13072,1,177.15,267,1,1,1,3,111
13075,1,919.61,130,2,1,3,6,213
13077,4,729.27,1,5,4,3,12,543
13078,26,12627.94,3,5,5,5,15,555
13079,5,220.1,4,5,4,1,10,541
13080,1,58.08,179,2,1,1,4,211
13081,11,28337.38,12,5,5,5,15,555
13082,9,3613.63,126,2,5,5,12,255
13083,2,303.75,4,5,2,2,9,522
13085,2,416.08,158,2,2,2,6,222
13089,97,58825.83,3,5,5,5,15,555
13090,14,8910.82,9,5,5,5,15,555
13091,1,345.82,28,4,1,2,7,412
13092,5,477.83,71,3,4,2,9,342
13093,8,7832.47,276,1,5,5,11,155
13094,12,1927.32,21,4,5,4,13,454
13095,1,74.4,71,3,1,1,5,311
13097,10,6010.42,33,4,5,5,14,455
13098,28,28882.44,1,5,5,5,15,555
13099,1,207.36,99,2,1,1,4,211
13101,1,101.19,234,1,1,1,3,111
13102,24,6424.09,1,5,5,5,15,555
13103,1,243.94,40,3,1,1,5,311
13104,6,1098.48,3,5,5,4,14,554
13106,1,76.5,133,2,1,1,4,211
13107,4,1531.62,44,3,4,4,11,344
13108,1,350.06,373,1,1,2,4,112
13109,2,786.54,60,3,2,3,8,323
13110,7,1488.67,31,4,5,4,13,454
13113,24,12245.96,1,5,5,5,15,555
13115,4,2294.78,12,5,4,5,14,545
13116,1,501.14,138,2,1,3,6,213
13117,8,984.91,22,4,5,4,13,454
13118,5,1197.81,20,4,4,4,12,444
13120,1,30.6,239,1,1,1,3,111
13121,1,283.73,269,1,1,2,4,112
13122,2,922.39,94,2,2,3,7,223
13124,3,3866.33,90,2,3,5,10,235
13126,8,2099.64,5,5,5,5,15,555
13127,1,259.17,78,2,1,2,5,212
13130,1,64.0,94,2,1,1,4,211
13131,3,1073.3,23,4,3,4,11,434
13132,1,77.3,262,1,1,1,3,111
13133,2,109.8,274,1,2,1,4,121
13134,4,1793.58,86,2,4,4,10,244
13135,1,3096.0,197,1,1,5,7,115
13136,5,2607.61,56,3,4,5,12,345
13137,8,3650.41,11,5,5,5,15,555
13138,6,962.39,22,4,5,4,13,454
13139,7,5064.94,16,4,5,5,14,455
13140,3,423.72,108,2,3,2,7,232
13141,5,2388.75,85,2,4,5,11,245
13142,1,307.09,19,4,1,2,7,412
13144,1,110.95,333,1,1,1,3,111
13145,4,618.52,40,3,4,3,10,343
13146,1,228.91,26,4,1,1,6,411
13147,4,712.8,10,5,4,3,12,543
13148,12,3707.12,29,4,5,5,14,455
13149,4,1676.06,14,4,4,4,12,444
13151,1,1257.87,296,1,1,4,6,114
13153,1,486.22,6,5,1,2,8,512
13155,4,971.76,33,4,4,4,12,444
13157,4,1741.22,49,3,4,4,11,344
13158,4,1201.06,95,2,4,4,10,244
13159,4,1437.85,9,5,4,4,13,544
13160,1,91.8,22,4,1,1,6,411
13161,1,112.75,313,1,1,1,3,111
13162,4,1688.29,122,2,4,4,10,244
13165,2,1021.48,46,3,2,4,9,324
13166,1,417.2,283,1,1,2,4,112
13167,4,791.33,19,4,4,3,11,443
13168,4,1319.19,36,3,4,4,11,344
13169,2,712.88,64,3,2,3,8,323
13170,1,116.01,27,4,1,1,6,411
13171,3,468.41,22,4,3,2,9,432
13173,2,353.65,4,5,2,2,9,522
13174,3,2817.03,16,4,3,5,12,435
13176,1,492.84,46,3,1,3,7,313
13177,1,282.45,65,3,1,2,6,312
13178,11,5725.47,26,4,5,5,14,455
13182,1,121.18,45,3,1,1,5,311
13183,9,3957.78,8,5,5,5,15,555
13184,10,1701.29,15,4,5,4,13,454
13185,1,71.4,268,1,1,1,3,111
13186,3,1575.89,40,3,3,4,10,334
13187,1,236.02,337,1,1,1,3,111
13188,1,114.6,11,5,1,1,7,511
13189,2,260.68,19,4,2,2,8,422
13192,2,911.94,95,2,2,3,7,223
13193,1,117.88,61,3,1,1,5,311
13194,1,60.7,136,2,1,1,4,211
13196,4,1797.78,11,5,4,4,13,544
13198,6,3401.24,10,5,5,5,15,555
13199,38,9817.12,4,5,5,5,15,555
13200,4,870.09,19,4,4,3,11,443
